username,user id,access hash,name,group,group id
zrcrt,250321887,-1495608993847243637,WR,≛⃝𝗔𝗠𝗔𝗧𝗘𝗥𝗔𝗦𝗘𝗫,1709580267
zuzuriiiliterallyy,2069193509,6062897512035762515,ꜱᴀʙᴇʟʟᴀ ⁪⁬⁮⁮⁮⁮ ‌(gapegang btpm ch lagi),≛⃝𝗔𝗠𝗔𝗧𝗘𝗥𝗔𝗦𝗘𝗫,1709580267
henzbraderrr,2122148222,8758229241198948495,㉿ᶻ • ᴘo̸ᴘo̸ 𝐁ʀᴧᴅᴇʀ • ࿇⃟ʙɪʙᴅ¹⁸⁺,≛⃝𝗔𝗠𝗔𝗧𝗘𝗥𝗔𝗦𝗘𝗫,1709580267
zxrqw1,5080708064,7615244775512894167,Rey,≛⃝𝗔𝗠𝗔𝗧𝗘𝗥𝗔𝗦𝗘𝗫,1709580267
sikoi1,950067946,-8800109093105573391,Zooro 🍉,≛⃝𝗔𝗠𝗔𝗧𝗘𝗥𝗔𝗦𝗘𝗫,1709580267
Aiwa05,1140636767,1520974163734738917,Iwan Zaen,≛⃝𝗔𝗠𝗔𝗧𝗘𝗥𝗔𝗦𝗘𝗫,1709580267
ZyzyMenn,5076552455,-2979271782031154819,𝄋͜͡ʟ•zyzy[Ƨ𝐅],≛⃝𝗔𝗠𝗔𝗧𝗘𝗥𝗔𝗦𝗘𝗫,1709580267
,1868173731,-5030997293203604692,Zulo Mist,≛⃝𝗔𝗠𝗔𝗧𝗘𝗥𝗔𝗦𝗘𝗫,1709580267
zzy78,2068112211,-7397755468643891405,Jay,≛⃝𝗔𝗠𝗔𝗧𝗘𝗥𝗔𝗦𝗘𝗫,1709580267
zxrndi,2104759845,-4013103742903965575,randiii,≛⃝𝗔𝗠𝗔𝗧𝗘𝗥𝗔𝗦𝗘𝗫,1709580267
Zdanzzx,1613258775,5695546835342378447,ZIDAN.×,≛⃝𝗔𝗠𝗔𝗧𝗘𝗥𝗔𝗦𝗘𝗫,1709580267
